timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1767580559156,1005,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,993,0,559
1767580555955,1005,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,993,3267,559
1767580560289,2493,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,705,1920,1,1,null,0,1367,67
1767580560290,2493,Basic Entity Search,200,OK,APIs 1-1,text,true,,705,1920,1,1,https://api2.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,2492,0,67
1767580564149,206,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2146,2001,1,1,null,0,26,0
1767580564149,206,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2146,2001,1,1,https://api2.stg.handshakes.ai/api/entity/search,206,0,0
1767580564382,82792,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2718338,2073,1,1,null,0,12,0
1767580564383,82792,Radial Map,200,OK,APIs 1-1,text,true,,2718338,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,82586,0,0
1767580647186,62364,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,4152,2124,1,1,null,0,19,100
1767580647186,62364,Interconnection Map,200,OK,APIs 1-1,text,true,,4152,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,62363,0,100
1767580709570,52326,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3279398,2073,1,1,null,0,28,84
1767580709571,52326,LBO Map,200,OK,APIs 1-1,text,true,,3279398,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,52033,0,84
1767580761925,45114,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,218062,2073,1,1,null,0,18,0
1767580761925,45114,Investee Companies Map,200,OK,APIs 1-1,text,true,,218062,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,45077,0,0
1767580807057,81648,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,594446,1962,1,1,null,0,17,75
1767580807058,81648,EPR,200,OK,APIs 1-1,text,true,,594446,1962,1,1,https://api2.stg.handshakes.ai/api/report/single/entityprofile/base/json/2?sourceguid=2b750d5e-4646-4843-9292-7c82940f55b2&entityguid=6C982F92-2D00-4D1B-B153-29F989313F4B,81557,0,75
1767580888722,66909,RED List Report,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,32430,2018,1,1,null,0,13,49
1767580888722,66909,RED List Report,200,OK,APIs 1-1,text,true,,32430,2018,1,1,https://api2.stg.handshakes.ai/api/report/redlist,66875,0,49
1767580955645,641,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,705,1920,1,1,null,0,4,54
1767580955647,641,Basic Entity Search,200,OK,APIs 1-1,text,true,,705,1920,1,1,https://api2.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,640,0,54
1767580956291,253,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2146,2001,1,1,null,0,3,0
1767580956291,253,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2146,2001,1,1,https://api2.stg.handshakes.ai/api/entity/search,253,0,0
1767580956548,50436,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2718338,2073,1,1,null,0,3,0
1767580956548,50436,Radial Map,200,OK,APIs 1-1,text,true,,2718338,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,50019,0,0
1767581006988,70470,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,4152,2124,1,1,null,0,1,0
1767581006988,70470,Interconnection Map,200,OK,APIs 1-1,text,true,,4152,2124,1,1,https://api2.stg.handshakes.ai/api/graph/render,70470,0,0
1767581077460,47823,LBO Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,3279398,2073,1,1,null,0,4,97
1767581077461,47823,LBO Map,200,OK,APIs 1-1,text,true,,3279398,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,47250,0,97
1767581125288,39194,Investee Companies Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,218062,2073,1,1,null,0,3,0
1767581125289,39194,Investee Companies Map,200,OK,APIs 1-1,text,true,,218062,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,39186,0,0
1767581164486,24869,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,594446,1962,1,1,null,0,3,65
1767581164487,24869,EPR,200,OK,APIs 1-1,text,true,,594446,1962,1,1,https://api2.stg.handshakes.ai/api/report/single/entityprofile/base/json/2?sourceguid=2b750d5e-4646-4843-9292-7c82940f55b2&entityguid=6C982F92-2D00-4D1B-B153-29F989313F4B,24644,0,65
1767581189357,37518,RED List Report,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,32430,2018,1,1,null,0,2,0
1767581189357,37518,RED List Report,200,OK,APIs 1-1,text,true,,32430,2018,1,1,https://api2.stg.handshakes.ai/api/report/redlist,37517,0,0
1767581226879,740,Basic Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,705,1920,1,1,null,0,4,121
1767581226881,740,Basic Entity Search,200,OK,APIs 1-1,text,true,,705,1920,1,1,https://api2.stg.handshakes.ai/api/search/entity/byname/json?searchText=TRILLION%20COVE%20HOLDINGS%20BERHAD&sourceshortname=CRMY,740,0,121
1767581227623,213,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2146,2001,1,1,null,0,3,0
1767581227624,213,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,2146,2001,1,1,https://api2.stg.handshakes.ai/api/entity/search,213,0,0
1767581227839,38777,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,2718338,2073,1,1,null,0,3,0
1767581227840,38777,Radial Map,200,OK,APIs 1-1,text,true,,2718338,2073,1,1,https://api2.stg.handshakes.ai/api/graph/render,37363,0,0
